"location","cause","sex","IRadjust","CFadjust","CFAARC"
"Belarus","hstroke","Male",0.7,0.85,1.01
"Belarus","ihd","Female",0.7,0.85,0.98
"Belarus","ihd","Male",0.7,0.9,0.97
"Belarus","istroke","Female",0.7,0.7,0.99
"Belarus","istroke","Male",0.7,0.75,0.98
"Belgium","hhd","Female",0.85,0.8,1.02
"Belgium","hhd","Male",0.85,0.85,1.02
"Belgium","hstroke","Female",0.75,0.85,0.98
"Belgium","hstroke","Male",0.75,0.8,0.96
"Belgium","ihd","Female",0.8,0.75,0.99
"Belgium","ihd","Male",0.75,0.7,0.99
"Belgium","istroke","Female",0.8,0.75,0.99
"Belgium","istroke","Male",0.75,0.7,0.98
"Belize","hhd","Female",0.9,0.9,1.02
"Belize","hhd","Male",0.95,0.95,1.02
"Belize","hstroke","Female",0.9,0.85,0.99
"Belize","hstroke","Male",0.95,0.9,0.98
"Belize","ihd","Female",0.95,0.9,0.99
"Belize","ihd","Male",0.95,0.85,1
"Belize","istroke","Female",0.95,0.7,0.99
"Belize","istroke","Male",0.95,0.7,0.99
"Benin","hhd","Female",0.9,0.95,1.01
"Benin","hhd","Male",0.95,0.95,1.01
"Benin","hstroke","Female",0.85,0.9,0.96
"Benin","hstroke","Male",0.85,0.85,0.98
"Benin","ihd","Female",0.9,0.9,0.99
"Benin","ihd","Male",0.95,0.9,0.99
"Benin","istroke","Female",0.9,0.8,0.98
"Benin","istroke","Male",0.95,0.8,1
"Bhutan","hhd","Female",0.75,0.85,1.02
"Bhutan","hhd","Male",0.75,0.85,1.01
"Bhutan","hstroke","Female",0.7,0.85,0.98
"Bhutan","hstroke","Male",0.7,0.95,0.97
"Bhutan","ihd","Female",0.75,0.9,0.99
"Bhutan","ihd","Male",0.7,0.85,0.99
"Bhutan","istroke","Female",0.7,0.85,0.99
"Bhutan","istroke","Male",0.7,0.95,0.97
"Bolivia","hhd","Female",0.85,0.85,1.01
"Bolivia","hhd","Male",0.95,0.8,1
"Bolivia","hstroke","Female",0.9,0.85,0.96
"Bolivia","hstroke","Male",0.85,0.85,0.97
"Bolivia","ihd","Female",0.85,0.85,0.97
"Bolivia","ihd","Male",0.9,0.9,0.98
"Bolivia","istroke","Female",0.95,0.8,0.96
"Bolivia","istroke","Male",0.9,0.75,0.97
"Bosnia and Herzegovina","hhd","Female",0.7,0.8,1.02
"Bosnia and Herzegovina","hhd","Male",0.75,0.85,1.01
"Bosnia and Herzegovina","hstroke","Female",0.7,0.9,0.96
"Bosnia and Herzegovina","hstroke","Male",0.7,0.8,0.98
"Bosnia and Herzegovina","ihd","Female",0.7,0.85,0.96
"Bosnia and Herzegovina","ihd","Male",0.7,0.9,0.98
"Bosnia and Herzegovina","istroke","Female",0.7,0.85,0.95
"Bosnia and Herzegovina","istroke","Male",0.7,0.8,0.95
"Botswana","hhd","Female",0.75,0.85,1.02
"Botswana","hhd","Male",0.75,0.8,1.02
"Botswana","hstroke","Female",0.8,0.75,1
