"sex","location","cause","IRadjust","CFadjust"
"Male","Belize","istroke",0.95,0.7
"Female","Benin","hhd",0.9,0.95
"Female","Benin","hstroke",0.85,0.9
"Female","Benin","ihd",0.9,0.9
"Female","Benin","istroke",0.9,0.8
"Male","Benin","hhd",0.95,0.95
"Male","Benin","hstroke",0.85,0.85
"Male","Benin","ihd",0.95,0.9
"Male","Benin","istroke",0.95,0.8
"Female","Bhutan","hhd",0.75,0.85
"Female","Bhutan","hstroke",0.7,0.85
"Female","Bhutan","ihd",0.75,0.9
"Female","Bhutan","istroke",0.7,0.85
"Male","Bhutan","hhd",0.75,0.85
"Male","Bhutan","hstroke",0.7,0.95
"Male","Bhutan","ihd",0.7,0.85
"Male","Bhutan","istroke",0.7,0.95
"Female","Bolivia","hhd",0.85,0.85
"Female","Bolivia","hstroke",0.9,0.85
"Female","Bolivia","ihd",0.85,0.85
"Female","Bolivia","istroke",0.95,0.8
"Male","Bolivia","hhd",0.95,0.8
"Male","Bolivia","hstroke",0.85,0.85
"Male","Bolivia","ihd",0.9,0.9
"Male","Bolivia","istroke",0.9,0.75
"Female","Bosnia and Herzegovina","hhd",0.7,0.8
"Female","Bosnia and Herzegovina","hstroke",0.7,0.9
"Female","Bosnia and Herzegovina","ihd",0.7,0.85
"Female","Bosnia and Herzegovina","istroke",0.7,0.85
"Male","Bosnia and Herzegovina","hhd",0.75,0.85
"Male","Bosnia and Herzegovina","hstroke",0.7,0.8
"Male","Bosnia and Herzegovina","ihd",0.7,0.9
"Male","Bosnia and Herzegovina","istroke",0.7,0.8
"Female","Botswana","hhd",0.75,0.85
"Female","Botswana","hstroke",0.8,0.75
"Female","Botswana","ihd",0.8,0.8
"Female","Botswana","istroke",0.8,0.7
"Male","Botswana","hhd",0.75,0.8
"Male","Botswana","hstroke",0.8,0.8
"Male","Botswana","ihd",0.85,0.8
"Male","Botswana","istroke",0.8,0.7
"Female","Brazil","hhd",0.85,0.85
"Female","Brazil","hstroke",0.85,0.8
"Female","Brazil","ihd",0.85,0.85
"Female","Brazil","istroke",0.9,0.8
"Male","Brazil","hhd",0.85,0.85
"Male","Brazil","hstroke",0.8,0.85
"Male","Brazil","ihd",0.85,0.85
"Male","Brazil","istroke",0.85,0.8
"Female","Brunei","hhd",0.7,0.9
"Female","Brunei","hstroke",0.7,0.75
"Female","Brunei","ihd",0.7,0.85
"Female","Brunei","istroke",0.7,0.7
"Male","Brunei","hhd",0.7,0.9
"Male","Brunei","hstroke",0.7,0.75
"Male","Brunei","ihd",0.7,0.9
"Male","Brunei","istroke",0.7,0.8
"Female","Bulgaria","hhd",0.8,0.85
"Female","Bulgaria","hstroke",0.7,0.85
"Female","Bulgaria","ihd",0.75,0.75
"Female","Bulgaria","istroke",0.8,0.7
"Male","Bulgaria","hhd",0.9,0.9
"Male","Bulgaria","hstroke",0.8,0.9
"Male","Bulgaria","ihd",0.8,0.75
"Male","Bulgaria","istroke",0.85,0.8
"Female","Burkina Faso","hhd",0.85,0.95
"Female","Burkina Faso","hstroke",0.85,0.9
