"","Scenario","X10","X90","SD","Gap"
"1","BAU2020",0.0748935893411612,0.385048369905863,0.120655093488642,0.310154780564702
"2","Business as usual 2050",0.0404008894290596,0.33498388517071,0.119936399671094,0.29458299574165
"3","Progress 2050",0.034946644381853,0.287833433293523,0.102002596638558,0.25288678891167
"4","Aspirational 2050",0.0293544042805994,0.256059813959469,0.0911938051023777,0.22670540967887
"5","Ideal 2050",NA,NA,NA,NA
