"","year","Scenario","LIC","HIC","Gap","Standard deviation"
"1",2020,"Business as usual",0.306870855230537,0.0832655850089934,0.223605270221544,0.120655093488642
"2",2050,"Business as usual",0.267777120519316,0.0599250459638939,0.207852074555422,0.119924124695868
"3",2050,"Progress",0.222719179278545,0.0549018075144669,0.167817371764078,0.101967363091301
"4",2050,"Aspirational",0.193997405519704,0.0485185472602117,0.145478858259492,0.0911224772915134
