"","year","Scenario","LIC","HIC","Gap","Standard deviation"
"1",2020,"Business as usual",0.308924042404722,0.0847195241069254,0.224204518297797,0.120655093488642
"2",2050,"Business as usual",0.268238235323198,0.0642880688125268,0.203950166510671,0.119936399671094
"3",2050,"Progress",0.222981882009111,0.0588018546097432,0.164180027399367,0.102002596638558
"4",2050,"Aspirational",0.194137824583918,0.0520185736815993,0.142119250902319,0.0911938051023777
